c4
Nf6
Nc3
e5
Nf3
d6
d3
g6
g3
Bg7
Bg2
O-O
h3
Re8
Nbd7
e4
Nc5
Be3
a5
Qd2
c6
Rad1
Qc7
Nh4
Qe7
f4
exf4
Bxf4
Nh5
Qf2
Nxf4
gxf4
Ne6
Ne2
c5
f5
Bd4
Nxd4
f6
Qe5
Qe3
Re6
Nxf3+
Qxf3
Bd7
Rf2
Qd4
Qf4
Kh8
Rf1
Re5
Qh6
Rg8
Bf3
g5
Qh5
g4
Qxf7
gxf3+
Kh2
Be6
Qxb7
Rh5
Rxf3
Bxh3
Qf7
Bxf1+
Qxh5
Qg1#
d4
cxd4
Qxd4
Nc6
Bb5
Bxc6
e6
Bg5
O-O-O
Be7
Rhe1
Qa5
Kb1
Rfd8
Nd4
h6
Bxf6
Qc5
Rac8
b5
hxg5
fxg5
Bxg5
Qd3
Bf6
Nb3
a3
a6
h4
Ba8
Nd2
Na2
Qb3
d5
Qh3
Qxh4
Rg1
Qh7
Qg3
Qxc2+
Ka1
Rdf1
Bf8
Nc1
Rxc1+
Rxc1
Bd5
Rc7
Qa2+
Kc1
Qa1+
Kd2
Qxb2+
Ke3
Qe2+
Kf4
Qe4+
Kg5
Qf5+
Kh4
Qh5#
Bc4
Bc5
Bb3
Bxc5
dxc5
Ba4
Kh1
a4
Rc8
axb5
Ng3
dxc4
bxc4
Bxa4
Rxa4
Qd7
Ra3
Rcd8
Rc3
b3
Rxf4
cxb3
Rxb3
dxc2
Qxc2
Qe2
Rc1+
Na5
dxe5
b6
Nxb3
Qxb3
Qc3
Qc6
b4
Qb5
Rfe1
Nf4
cxb4
axb4
Rf7
Qxf7+
Kxf7
bxc5
Rb1
Ra1
Reb1
h5
Ngf1
Ne2+
Rb3
Nxe4
Rbxa3
Rxa3
Nd6
Ra5
Nb7
Ra7
Kg6
f3
hxg4
fxg4
Bxg4
Bf2
Re1
Qc7+
Rxe4
Bf5
Re3
hxg2+
Kxg2
Rg3+
Kf7
Kg1
Qd6
Rf3
Ke6
Qxd2
Rxf5
Nxc4
Rxc5
Ne5
Nf1
Nd3
Bg3
Kf5
Rc2
Qe4
Rg2
Qh7+
Kg4
Be1+
Qa7+
Qa1
Rf2+
Rf4+
Kg2
Qa8+
Kh3
Qh1+
Nh2
Nf3+
Kh5
Ng5+
Qg4
Nf5
Ne4
Rf4
Bf4+
Bxd2
Ne3
Qh2#
e3
Bd3
c3
Bd6
Nbd2
Bb2
Ne7
Ra2
Ng6
Bc2
Ra8
Bc6
exd5
Bg4
Qf1
Nxd5
Bh3
Nc4
Nxb2
Rxb2
Nxc3
Rd2
fxe4
Bb4
Rdd1
Bxe1
Qxe1
Bc8
Re2
Bf7
Rf8
Nd5
Qxg3+
Qxg3
Rxg3
Kxg3
Rxf7
Rd7
Rd3
Rxh3
g5#
dxe4
Nxf6+
gxf6
Bg6
Be2
Qd5
Qc4
Bd2
Nd7
Bg3+
Kf1
Nxa5
Nb6
Rc1
Qb6
Nxg6
fxg6
Rc5
Rh3
Bb1
Qxa3
Qxb1+
Kf2
Rd8
Qh1
Qh2+
Ke1
Qg1+
Ke2
Qg2+
Kd1
Qf1+
Kc2
Kb2
Rxd8
Nd1+
Qc4+
Kxd1
Be1
Qa2
Qd7#
Bb7
Qa4+
Qxc4
Ne8
Qc2
Bh8
Qc8
Nfg5
Rf6
Rxe6
Nxe6
Nxe5
Nf8
Nf7
Bxd5
Qxd5
Nc7
Nxa8
Nxg5
Qxa8
Qb3+
Rd1
Nxf2
Ng4+
Qxe6+
Kg7
Qe7+
Kh6
Qh4+
Rd7+
Kf8
Kg8
Qg7#
Ng5
Nh3
Bxb7
Qf3
Rff1
Nf2
Rc6
Rfc8
Rfd1
Nd1
Rdc2
Rh2
Rcc2
Bc1
Nxb4
Rce2
c2
Nb2
Nxa2
Rxc4
Nxc1
Rxc2
Rb8
Rb1+
Ne1+
Rh8
Bh4+
Rg1+
Rg3#
Be4
Bxd3
Qxd3
Nxc6
Qxc6
Qc5+
Raxc1
Qxg5
Qh4
Rc4
Rge1
Rd4
Qg2
Qxf4
Rc8+
Kh7
Bh4
Rec1
Rd2+
Rh2#
Nb5
Qd8
Bxe2
Nxe2
Nbc3
Bf4
Bh6
Bxh6
Qxh6
Qa6
dxc6
c7
Rb4
Nxc7
Ncd5
Ra4
Qxg2
exf6
Qe3+
Qh6+
Qxc1
Rxa7
Rb2+
Kd3
Rxf2
Qd5+
Kc3
Rf3+
Kb4
Qf1#
Nfd7
N8d7
Bxc4
Rhf8
Kb8
Nxb7
Ka7
Qxd7
Qxa6+
Rb3+
Kc7
Qb6#
cxd3
Rae8
Rxg4
Rf5
Bg1
Rfg3
Qb1+
Qxa2
Ke8
Rxh7
Qb1
Rxg6
Rh8+
Kd7
Kxe6
Qg8+
Qc8#
Nge7
bxc3
Nb4
Bxa1
Ba6
Nxc5
Rb2
Qd1
Rxa2
Qg2#
Bf1
Bh5
Nb8
Nh7
Ndxf6
Nfxe5
d7+
Nxg6+
Bc4#
Bxc3
bxa4
Rab4
Bxe4
fxe6
Rb7
Ng4
Rxg7+
Qxg7
Rab8
exd4
Qxg4
Qg6
Re7
Rg5
Qf4+
Qe3#
cxd5
Bb5+
Bxd7+
Nbxd7
Rfe8
Nxf6
Bb8
Qe6
Ng1
Rbe1
exf3+
Nxf3
hxg3
Bxg3
f4+
fxe3+
Qxe3
Qf5
Qe1
Rc2+
Kg3
Qh3+
Rf8+
Kxg5
Na3
Nc2
Bb4+
Ncxd4
Nxf5
exf5
Qxd5+
Bc6+
Qxf5
Rxe2+
Rxf2+
Kxf2
Re2#
hxg6
Rxh7+
Kxh7
Qf7+
Rh1+
Qxh4#
Ng8
Nh6
Na6
Rae1
Ned6
Ngf7
Qa4
Bxe5
fxe5
Qg6+
Qe6+
Bd4+
Qh7#
Rg3
Rad8
Rgf3
Red8
R4d6
Rff3
Qb4
Rgxf3
Rad4
Qb7
R8d6
Qxe4
Qxe2
Rxe2
R1d4
Rb6
Rxb6
cxb6
Rxa6
Rxc4+
h4+
Kf3
Ra3+
Ra2+
Ke5
Rxg2+
Kxh3
Rxg5
Rh2+
Ra1#
Nge2
Rac1
Bxc7
Rxc7
Qxc7
Rd6
Rxd5
Qxe7
Qd8+
Rd5
Qc6+
Qxc3
Rxe5
Qxe5+
Qb2+
gxh5
b2
Kxh5
Qd4+
Qc1
b1=Q
Qf6+
Qf6
Qb8+
Qbh2#
Qb5+
Rh6
Qf8
Kxh6
Qe8
Qf8+
Qxc5
Rxe1+
Qxf6
Qh8#
Bxf7+
Bxc2
Rxd4
Bd8
Bxf8
Bxd1
Rxd1
Kxf8
Qf8#
Na4
Rce1
Ncb8
R1e7+
Bxe7
Qg8#
bxc6
Qa5+
Qb6+
Rg4
Rxg3+
Rf3#
exd7+
Nxd7
Qxh7+
Rdf1+
Rf7+
Rxe7+
Kxe7
Qxg7+
Kd8
Rh8#
Nce2
Bxh4
Rxf1
Bxe6+
Nf7+
Nxg5+
Rxh7#
Be5
Rfd2
Qg1
Rxc8
Re1+
Bf1+
Bh3#
Qxd2+
Bxa6
Nxa6
Ba5
Rdc8
Rhc1
Rxc6
Ne1
Bxd8
Kxd8
Kxc7
Nxf7
Nxh7
Nf8+
Ke7
Nc3+
Kd4
gxf5
Ke4
Nxh2
e6+
Kd5
Nf6+
Kc6
a2
Kxd5
f7
f8=Q#
Ndf3
gxh6
Nde5
Bxg6
Kf6
Rg7
Rag8
Rfe3
Bd1
Nxd1
Rg2+
Bxf5
R2g3
Be4+
